"Metabolite","Estimate_Intercept","Std_Error_Intercept","df_Intercept","p_value_Intercept","Singular_fit_Intercept","FDR_Intercept","test_type","Compound.Name","CASNumber","Number.Passed","Retention.Time","Measured.Retention.Time","Product.Mass","QualifierMass"
"M.78",29.6,5.272,79,2.824e-07,TRUE,1.546e-06,"Intercept","PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z))","",11,4.321,4.414717,415.7549,416.7575
"M.79",26.5625,5.604,79,9.286e-06,TRUE,3.714e-05,"Intercept","TG(22:5(7Z,10Z,13Z,16Z,19Z)/18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","",120,8.011,8.080916,1001.7567,1002.7597
"M.8",17.54375,6.72,79,0.01081,TRUE,0.02204,"Intercept","C20 - 7.5620003","",21,7.562,7.616433,933.6983,935.7118
"M.80",-2.45464,6.089,38.84,0.6891,FALSE,0.7963,"Intercept","C188 - 6.4130006","",77,6.413001,6.2644,666.581,667.583
"M.81",0.82647,7.511,39.68,0.9129,FALSE,0.9528,"Intercept","C191 - 4.863","",82,4.863,4.912384,423.7696,848.5415
"M.82",9.8875,7.063,79,0.1654,TRUE,0.2423,"Intercept","C194 - 3.106","",6,3.106,3.203717,844.5518,845.555
"M.83",13.7875,4.957,79,0.006761,TRUE,0.01435,"Intercept","C197 - 4.022","",95,4.022,4.082933,408.7473,816.4963
"M.84",14.78845,9.183,40.52,0.1151,FALSE,0.1841,"Intercept","PI-Cer(t18:0/16:0(2OH))","",97,4.521,4.423017,814.545,836.5239
"M.85",11.29229,7.597,38.8,0.1453,FALSE,0.2158,"Intercept","C203 - 4.679","",71,4.679,4.705033,1244.8486,1244.3458
"M.86",1.5875,6.489,79,0.8074,TRUE,0.8839,"Intercept","TG(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))","",27,8.13,8.080916,1003.7726,1005.7805
"M.87",19.075,5.998,79,0.002104,TRUE,0.004972,"Intercept","C212 - 3.003","",6,3.003,3.0793,623.5074,624.5103
"M.88",0.275,6.664,79,0.9672,TRUE,0.9862,"Intercept","C222 - 1.38","",2,1.38,1.395517,1069.6285,1091.6049
"M.89",-25.48085,6.167,40.09,0.0001779,FALSE,0.0005285,"Intercept","C224 - 3.75","",21,3.75,3.76775,653.5509,654.554
"M.9",-34.82702,5.387,39.64,1.093e-07,FALSE,7.475e-07,"Intercept","C26 - 6.502","",56,6.502,6.4635,757.5966,759.6082
"M.90",-25.85,5.053,79,2.135e-06,TRUE,9.655e-06,"Intercept","C229 - 1.3319999","",162,1.332,1.412117,1061.6603,1083.645
"M.91",25.83769,5.817,40.5,6.735e-05,FALSE,0.0002187,"Intercept","TG(22:5(4Z,7Z,10Z,13Z,16Z)/18:4(6Z,9Z,12Z,15Z)/22:5(7Z,10Z,13Z,16Z,19Z))","",6,7.535,7.608133,997.7252,999.7375
"M.92",-4.4,7.948,79,0.5814,TRUE,0.695,"Intercept","LysoPC(16:0)","",2,2.196,2.1918,496.3405,497.3452
"M.93",-40.62399,5.198,39.8,1.456e-09,FALSE,1.683e-08,"Intercept","PA(O-20:0/13:0)","",21,3.087,3.137367,649.5188,650.5218
"M.94",-0.825,6.642,79,0.9015,TRUE,0.9528,"Intercept","C240 - 4.5639997","",6,4.564,4.4313,810.5303,832.5126
"M.95",49.97585,5.009,39.96,2.089e-12,FALSE,7.242e-11,"Intercept","C246 - 1.396","",161,1.396,1.36235,303.6473,304.1492
"M.96",34.1125,6.233,79,5.061e-07,TRUE,2.632e-06,"Intercept","TG(18:2(9Z,12Z)/20:2n6/18:2(9Z,12Z))","",114,8.62,8.71135,943.7656,944.7687
"M.97",26.65604,3.505,40.13,2.679e-09,FALSE,2.786e-08,"Intercept","Lactosylceramide (d18:1/24:1(15Z))","4682-48-8",162,6.046,6.17315,994.7174,972.7375
"M.98",9.38589,7.583,40.08,0.223,FALSE,0.3134,"Intercept","Adrenoyl ethanolamide","150314-35-5",145,1.631723,1.694117,376.3195,377.3222
"M.99",27.3375,6.78,79,0.0001266,TRUE,0.0003871,"Intercept","C254 - 4.688","",42,4.688,4.804567,1661.139,1662.1418
